Rank,Title,Type,Premiere,Genre,Watchtime,Watchtime in Million,title,imdb_rating
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"48,900,000",48.9,brooklyn nine-nine,83
0,cobra kai,TV Show,2018.0,Action,"48,900,000",48.9,cobra kai,88%
0,cobra kai,TV Show,2018.0,Action,"48,900,000",48.9,cobra kai,88
0,orange is the new black,TV Show,2013.0,Drama,"48,800,000",48.8,,
0,the end of paradise,TV Show,2019.0,Crime,"48,600,000",48.6,the end of paradise,57%
0,the end of paradise,TV Show,2019.0,Crime,"48,600,000",48.6,the end of paradise,57
0,shooter,TV Show,2016.0,Action,"48,600,000",48.6,,
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"48,500,000",48.5,brooklyn nine-nine,83%
0,brooklyn nine-nine,TV Show,2013.0,Comedy,"48,500,000",48.5,brooklyn nine-nine,83
0,rosario tijeras,TV Show,2016.0,Action,"48,500,000",48.5,rosario tijeras,62%
0,rosario tijeras,TV Show,2016.0,Action,"48,500,000",48.5,rosario tijeras,62
0,the smurfs,TV Show,2021.0,Animation,"48,400,000",48.4,,
0,emily in paris,TV Show,2020.0,Drama,"48,300,000",48.3,,
0,the magician's elephant,Movie,2023.0,Animation,"48,300,000",48.3,,
0,friends,TV Show,1994.0,Comedy,"48,200,000",48.2,,
0,shrek,Movie,2001.0,Animation,"48,100,000",48.1,shrek,79%
0,shrek,Movie,2001.0,Animation,"48,100,000",48.1,shrek,79
0,suits,TV Show,2011.0,Drama,"48,100,000",48.1,,
0,teen titans go!,TV Show,2013.0,Animation,"48,100,000",48.1,,
0,american manhunt: the boston marathon bombing,TV Show,2023.0,Documentary,"47,900,000",47.9,,
